val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
,,,,33,5133,0.5777252912521362,0.815320309683585,0.8964678257916248,0.9128630926743385
0.5061599016189575,0.8372544512969039,0.9098239419004402,0.9196052879811807,34,5284,,,,
,,,,34,5284,0.5645355582237244,0.8173795951398904,0.8978421531559627,0.913817858799613
0.5266249775886536,0.8334268723686019,0.9072469206482833,0.9167955840356374,35,5435,,,,
,,,,35,5435,0.5726420283317566,0.8187611160539946,0.8986599450402109,0.9149587100071133
0.5102106928825378,0.8367988038855729,0.9093992102489462,0.9185328158266686,36,5586,,,,
,,,,36,5586,0.5611826181411743,0.8202120128170091,0.899517489494154,0.9158763236783717
0.480132132768631,0.8461474773530041,0.9151889611242542,0.9247079732872767,37,5737,,,,
,,,,37,5737,0.5550035238265991,0.8220289408597061,0.900794268585211,0.9154120953677186
0.5004674196243286,0.8366967235306495,0.9091352200744536,0.9191608051410272,38,5888,,,,
,,,,38,5888,0.5643787384033203,0.8221136622140591,0.9007793724547242,0.9159997076239411
0.4869118332862854,0.8435334201227797,0.9135515590344166,0.9231828146611689,39,6039,,,,
,,,,39,6039,0.5693520307540894,0.8242097694466846,0.902112008981047,0.9164735247713617
0.5087237358093262,0.8381866695641469,0.9102241711165011,0.9192546822956552,40,6190,,,,
,,,,40,6190,0.5740953683853149,0.822640803534908,0.9011215062889907,0.9156170015804951
0.5039345622062683,0.8406992516760864,0.9117666592374734,0.9203360749037744,41,6341,,,,
,,,,41,6341,0.5642552375793457,0.8215861819637116,0.9003487917178903,0.9168698480635148
0.5040407776832581,0.838992914905708,0.9106707081264321,0.9196928199322012,42,6492,,,,
,,,,42,6492,0.5549992322921753,0.8263820260005612,0.9034676254160964,0.918292974409881
0.5078283548355103,0.8361692532969995,0.9088543362200194,0.9183796282751404,43,6643,,,,
,,,,43,6643,0.5579943060874939,0.8243921073913958,0.9022038641335526,0.916931019285999
0.5048388242721558,0.8387834976182702,0.910580204601781,0.9197321920533306,44,6794,,,,
,,,,44,6794,0.5553427934646606,0.8254595881711344,0.9028661481570532,0.9174526582291223
